name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp195,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,15.8076,6.90749,0.244242,37.5827,8.90015,22.7151,0.244242
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp196,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,19.1337,7.90856,0.309059,43.5771,11.2252,27.0423,0.309059
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp197,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,23.0094,9.00425,0.387032,50.2419,14.0051,32.0136,0.387032
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp198,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,27.4985,10.2002,0.479981,57.6252,17.2984,37.6987,0.479981
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp199,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,32.6688,11.5024,0.589863,65.7779,21.1664,44.1712,0.589863
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp20,5.88802e-08,0,5.88802e-08,5.88802e-08,5.88802e-08,5.88802e-08,121.283,96.3768,0.285146,517.458,24.906,217.66,0.285146
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp200,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,38.5914,12.9175,0.718773,74.7535,25.6739,51.5089,0.718773
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp201,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,45.3409,14.4528,0.868949,84.6089,30.8881,59.7938,0.868949
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp202,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,52.9954,16.1161,1.04278,95.4038,36.8793,69.1116,1.04278
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp203,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,61.6362,17.9158,1.24282,107.202,43.7204,79.5521,1.24282
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp204,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,71.3481,19.861,1.47182,120.069,51.4871,91.2091,1.47182
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp205,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,82.2195,21.9613,1.73271,134.078,60.2583,104.181,1.73271
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp206,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,94.3425,24.2269,2.02868,150.753,70.1156,118.569,2.02868
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp207,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,107.813,26.6687,2.36313,170.842,81.1443,134.482,2.36313
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp208,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,6.14448e-19,9.1729e-19,3.10021e-23,4.71124e-18,-3.02842e-19,1.53174e-18,1.97815e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp209,-1.97747e-09,0,-1.97747e-09,-1.97747e-09,-1.97747e-09,-1.97747e-09,1.45476e-08,2.17177e-08,7.34004e-13,1.11543e-07,-7.17008e-09,3.62653e-08,1.9782e-09
